Title,Brand,Reviews,Rating,Selling Price,Image URL,Product URL
"Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, Glitter Eyes Soft Toy, 35CM (Grey)","Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, Glitter Eyes Soft Toy, 35CM (Grey)",924,4.5,,https://m.media-amazon.com/images/I/71A-WPv5q-L._AC_UL320_.jpg,
"Babique Rabbit Plush Cute Rabbit Soft Toys Animal Home Decor Baby/Boys/Girls (Pink, 26 cm)","Babique Rabbit Plush Cute Rabbit Soft Toys Animal Home Decor Baby/Boys/Girls (Pink, 26 cm)",660,3.9,,https://m.media-amazon.com/images/I/513NwwpIBqL._AC_UL320_.jpg,
SCOOBA Super Soft Adorable cat Stuffed Toy Pack of 1 25cm,SCOOBA Super Soft Adorable cat Stuffed Toy Pack of 1 25cm,75,4.2,,https://m.media-amazon.com/images/I/51UmNYyWxZL._AC_UL320_.jpg,
Webby Plush Standing Giraffe Soft Toys for Kids 30 CM (Yellow),Webby Plush Standing Giraffe Soft Toys for Kids 30 CM (Yellow),370,4.3,,https://m.media-amazon.com/images/I/71e75GSCrKL._AC_UL320_.jpg,
"Amazon Brand - Jam & Honey Dinosaur, Cute, Plush/Soft Toy, Suitable for Boys, Girls and Kids, Super-Soft, Safe, 34 cm (Green & Yellow)",Amazon Brand,13328,4.4,,https://m.media-amazon.com/images/I/81c5rU7uWgL._AC_UL320_.jpg,
Richy Toys White Dog Cute Plush Soft Toys for Kids Birthday Gift 26 cm,Richy Toys White Dog Cute Plush Soft Toys for Kids Birthday Gift 26 cm,4610,4.0,,https://m.media-amazon.com/images/I/7173JXCs7YL._AC_UL320_.jpg,
"Webby Soft Animal Plush Elephant Toy 20cm, Blue & Grey","Webby Soft Animal Plush Elephant Toy 20cm, Blue & Grey",5898,4.4,,https://m.media-amazon.com/images/I/711DBUR31bS._AC_UL320_.jpg,
"Future Shop Pack of 4 Panda, Squirrel, Griffe & Pink Dolphine. Best Soft Combo Toys Toy for Cute Kids Baby Boys/Girls Animal Stuffed Plush Toy Teddy Bear for Kids.","Future Shop Pack of 4 Panda, Squirrel, Griffe & Pink Dolphine. Best Soft Combo Toys Toy for Cute Kids Baby Boys/Girls Animal Stuffed Plush Toy Teddy Bear for Kids.",480,4.1,,https://m.media-amazon.com/images/I/41CB-Bd3k3L._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Unicorn, Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Boys, Toy Gift for Girls, Kids Toys for Boys Girl, Toys Gift Items, (30cm, Pink)","HUG 'n' FEEL SOFT TOYS Unicorn, Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Boys, Toy Gift for Girls, Kids Toys for Boys Girl, Toys Gift Items, (30cm, Pink)",34269,4.0,,https://m.media-amazon.com/images/I/61junWYBK0L._AC_UL320_.jpg,
"SIVIGE Blue Premium Soft Quality Lovable Huggable Soft Toy, Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls&Boys for Valentine Special 30 CM","SIVIGE Blue Premium Soft Quality Lovable Huggable Soft Toy, Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls&Boys for Valentine Special 30 CM",56,4.1,,https://m.media-amazon.com/images/I/81I9nN02ajL._AC_UL320_.jpg,
